hdi-rank,group,label,gii-value,gii-rank,gii-parliament,population,life-expectancy,health-expend,edu-secondary,edu-tertiary,gdp-total,gdp-capita,price-index,labor-rate,unemployment,homicide,suicide-female,suicide-male,trade,foreign-invest,intl-student,intl-tourist,fossil-fuel,co2-gdp
11,Countries,Finland,0.047,7,47.000,5.532,70.337,9.207,100.000,88.198,268.404,"48,621.089",112.332,59.081,6.595,1.630,6.8,20.8,79.467,3.081,4.490,"3,224",40.208,0.194
11,Countries,Singapore,0.065,12,23.000,5.804,74.481,4.440,81.424,84.793,555.194,"97,341.469",114.406,70.538,4.109,0.156,4.9,11.1,319.148,28.346,10.509,"14,673",90.579,0.101
13,Countries,United Kingdom,0.118,31,28.909,67.530,69.109,9.632,78.799,59.996,"3,121.120","46,699.302",119.623,62.774,3.851,1.205,3.5,11.9,64.254,0.956,16.468,"36,316",80.352,0.138
14,Countries,Belgium,0.043,4,43.333,11.539,69.719,10.339,86.596,79.662,593.815,"51,707.792",117.110,53.562,5.589,1.690,9.4,22.2,163.293,-5.386,5.693,"9,119",75.871,0.190
14,Countries,New Zealand,0.123,33,40.833,4.783,69.587,9.170,97.165,82.033,210.878,"42,887.518",114.241,69.908,4.069,0.744,6.2,17.3,55.942,1.908,17.834,"3,686",59.749,0.192
16,Countries,Canada,0.080,19,33.183,37.411,70.449,10.573,100.000,68.923,"1,843.053","49,031.380",116.757,65.071,5.564,1.756,5.8,15.1,64.977,2.584,9.879,"21,134",74.089,0.347
17,Countries,United States,0.204,46,23.729,329.065,65.432,17.061,96.029,88.167,"20,574.972","62,682.800",117.244,62.049,3.682,4.957,6.4,21.1,26.389,1.454,4.724,"79,746",82.428,0.274
18,Countries,Austria,0.069,14,38.525,8.955,70.604,10.397,99.967,85.057,500.244,"56,352.445",118.058,60.684,4.674,0.967,5.7,17.5,107.725,2.939,12.732,"30,816",65.662,0.167
19,Countries,Israel,0.109,26,23.333,8.519,71.818,7.407,89.279,63.355,363.598,"40,161.919",108.150,64.042,3.861,1.492,2.4,8.2,58.465,4.613,-0.957,"4,121",97.382,0.226
19,Countries,Japan,0.094,24,14.507,126.860,73.843,10.936,93.762,,"5,231.066","41,429.288",105.482,61.726,2.291,0.263,8.1,20.5,36.817,0.732,3.442,"31,192",93.026,0.235
19,Countries,Liechtenstein,,,12.000,0.038,,,,35.622,,,,,,2.637,,,,595.154,-43.928,85,,
22,Countries,Slovenia,0.063,10,22.308,2.079,70.382,8.187,97.773,78.589,80.780,"38,688.783",111.051,58.361,4.195,0.481,4.5,22.4,159.736,2.571,-0.084,"4,425",61.114,0.214
23,Countries,Korea (Republic of),0.064,11,16.667,51.225,72.326,7.604,86.045,94.350,"2,205.971","42,661.172",115.159,62.970,4.148,0.604,11.6,29.6,76.709,0.643,-1.103,"15,347",81.028,0.324
23,Countries,Luxembourg,0.065,12,25.000,0.616,70.993,5.481,100.000,19.152,70.967,"114,481.534",115.088,59.327,5.363,0.338,5.8,15.0,381.517,-7.917,-109.337,"1,018",80.562,0.167
25,Countries,Spain,0.070,16,41.857,46.737,71.598,8.873,77.722,88.853,"1,924.655","40,883.325",110.962,57.492,13.959,0.621,3.1,9.3,66.917,1.325,1.172,"82,773",72.956,0.162
26,Countries,France,0.049,8,36.865,65.130,71.502,11.313,84.021,65.629,"3,097.062","46,183.522",110.049,55.126,8.427,1.199,6.5,17.9,64.523,2.471,6.672,"89,322",46.488,0.121
27,Countries,Czechia,0.136,36,20.641,10.689,68.602,7.231,99.977,64.079,430.141,"40,314.229",116.476,60.559,1.933,0.620,4.2,17.2,144.877,3.786,8.814,"10,611",77.735,0.302
28,Countries,Malta,0.175,40,14.925,0.440,71.065,9.341,82.179,54.260,21.785,"43,340.200",113.452,56.527,3.473,1.594,2.8,10.3,261.012,30.272,0.750,"2,599",97.788,0.091
29,Countries,Estonia,0.086,21,29.703,1.326,68.129,6.429,100.000,69.635,48.700,"36,710.411",122.142,63.560,5.115,2.117,4.4,25.6,141.154,9.232,0.054,"3,234",13.056,0.427
29,Countries,Italy,0.069,14,35.263,60.550,71.238,8.840,79.727,61.933,"2,557.373","42,412.665",110.624,49.555,9.887,0.569,2.6,8.4,60.139,1.460,1.268,"61,567",79.948,0.155
31,Countries,United Arab Emirates,0.079,18,50.000,9.771,64.379,3.334,78.918,,655.789,"67,119.133",114.525,82.094,2.348,0.464,0.8,3.5,160.936,2.460,27.742,"21,286",86.128,0.317
32,Countries,Greece,0.116,29,20.667,10.473,69.911,8.041,64.828,136.603,324.861,"30,314.566",101.949,51.767,17.238,0.941,1.5,6.1,74.384,2.198,-1.623,"30,123",82.575,0.244
33,Countries,Cyprus,0.086,21,17.857,1.199,69.900,6.685,81.773,75.941,34.869,"39,544.682",102.511,63.059,7.274,1.261,1.9,7.2,142.643,97.053,-51.173,"3,939",92.906,0.229
34,Countries,Lithuania,0.124,34,21.277,2.760,66.563,6.458,95.886,72.417,103.043,"36,974.946",118.382,61.618,6.352,4.569,6.7,47.5,150.581,2.496,-3.646,"2,825",67.994,0.135
35,Countries,Poland,0.115,28,27.857,37.888,68.118,6.542,85.788,67.827,"1,256.319","33,086.390",114.112,56.701,3.474,0.730,3.4,23.9,106.243,2.538,2.516,"19,622",90.291,0.305
36,Countries,Andorra,,,46.429,0.077,70.878,10.321,72.327,,,,,,,0.000,,,,,-215.932,"3,042",,
37,Countries,Latvia,0.176,41,30.000,1.907,66.317,5.956,100.000,88.057,58.971,"30,830.091",116.857,61.411,6.520,4.356,5.1,31.0,119.730,2.635,1.005,"1,946",56.717,0.143
38,Countries,Portugal,0.075,17,38.696,10.226,70.210,8.970,54.303,63.936,357.355,"34,797.994",110.624,58.811,6.334,0.790,3.8,14.3,87.641,3.480,2.350,"16,186",77.024,0.175
39,Countries,Slovakia,0.191,45,20.000,5.457,67.612,6.743,99.281,46.634,178.853,"32,792.555",115.339,59.541,5.561,1.137,2.6,18.4,185.250,2.194,-13.868,"2,256",64.092,0.198
40,Countries,Hungary,0.233,51,12.563,9.685,66.790,6.880,97.378,48.500,318.724,"32,622.851",121.642,56.468,3.399,2.487,6.2,22.2,162.981,3.785,5.698,"17,552",69.550,0.181
40,Countries,Saudi Arabia,0.252,56,19.868,34.269,64.481,5.230,68.848,68.040,"1,609.323","46,962.141",118.400,55.880,5.927,1.266,1.7,4.6,62.163,0.575,-0.355,"15,334",99.928,0.337
42,Countries,Bahrain,0.212,49,18.750,1.641,66.588,4.748,72.347,50.482,73.895,"45,025.772",117.591,73.362,0.714,0.524,2.1,7.9,151.405,0.295,-0.503,"12,045",99.366,0.471
43,Countries,Chile,0.247,55,22.727,18.952,69.226,8.984,79.647,88.464,459.135,"24,226.151",131.914,62.644,7.090,4.405,3.8,16.0,56.762,2.039,-0.910,"5,723",74.647,0.223
43,Countries,Croatia,0.116,29,20.530,4.130,68.210,6.789,95.845,67.866,115.958,"28,508.517",109.816,51.182,6.935,0.577,5.1,18.8,102.850,1.937,-5.261,"16,645",70.704,0.180
45,Countries,Qatar,0.185,43,9.756,2.832,66.266,2.607,68.159,17.870,262.394,"92,651.070",115.381,86.820,0.091,0.366,1.1,7.3,86.547,-1.533,14.423,"1,819",99.995,0.265
46,Countries,Argentina,0.328,75,39.877,44.781,66.792,9.124,57.158,89.959,990.177,"22,033.945",232.751,61.302,9.789,5.324,3.5,15.0,32.394,1.389,2.542,"6,942",87.722,0.223
47,Countries,Brunei Darussalam,0.255,60,9.091,0.433,65.262,2.373,70.203,31.393,26.907,"62,099.588",99.027,64.678,9.117,0.495,2.8,6.2,108.510,2.771,-24.834,278,99.995,0.222
48,Countries,Montenegro,0.109,26,28.395,0.628,66.490,,91.619,56.081,13.300,"21,378.575",116.320,54.443,14.883,2.230,3.6,12.6,109.454,8.267,,"2,077",64.665,0.222
49,Countries,Romania,0.276,61,19.570,19.365,66.360,5.158,90.783,49.382,578.934,"29,908.979",123.780,54.662,3.976,1.282,2.4,13.9,84.560,2.764,-1.518,"11,720",72.524,0.158
50,Countries,Palau,,,13.793,0.018,59.198,11.961,97.123,,0.324,"18,070.038",118.169,,,11.166,,,123.298,7.571,,106,,
51,Countries,Kazakhstan,0.190,44,22.078,18.551,63.160,3.125,99.459,61.750,487.869,"26,351.439",182.750,68.757,4.590,5.061,7.7,40.1,64.432,1.992,-11.304,"8,789",99.174,0.601
52,Countries,Russian Federation,0.225,50,16.452,145.872,63.744,5.345,95.926,81.909,"3,968.180","27,043.935",180.750,61.801,4.585,8.209,7.5,48.3,49.074,1.870,3.296,"24,551",92.143,0.476
